researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30
16,143,87,96,143,30,58,39,47,38,75,21,45,335,223,7,114,116,11,27,9,34,72,5,7,11,38,151,1430,30
16,62,62,83,39,25,52,31,41,36,49,14,31,170,53,5,113,44,7,13,6,9,16,2,5,8,21,134,750,21
13,56,21,60,38,24,32,31,39,32,45,14,28,135,33,2,86,24,7,11,5,7,11,0,2,8,21,112,697,20
8,49,20,55,26,12,27,23,39,19,45,13,27,114,31,2,85,14,6,11,2,6,9,0,2,7,14,89,653,19
3,43,13,52,16,12,26,22,34,10,45,11,19,101,25,1,79,13,3,7,1,2,2,,1,4,12,84,555,8
3,42,12,51,16,10,17,12,30,10,35,9,19,64,18,1,64,10,1,5,,2,0,,1,1,11,80,475,7
2,41,10,45,13,10,14,11,29,9,35,4,17,57,16,1,63,6,0,5,,1,0,,1,,7,72,458,6
1,40,9,42,11,6,14,11,24,7,26,4,16,55,14,0,54,6,0,4,,1,,,0,,5,69,443,3
1,34,8,33,10,6,14,7,24,5,24,4,14,54,14,0,52,5,0,3,,1,,,0,,5,65,343,2
0,33,8,32,9,5,8,6,21,5,21,3,14,53,12,0,41,3,0,3,,0,,,0,,4,62,339,1
0,32,8,31,9,4,6,5,21,5,19,2,13,51,12,0,30,2,,2,,0,,,0,,0,60,330,1
,31,8,31,9,4,5,5,20,4,17,2,10,48,10,0,25,1,,2,,0,,,0,,,55,284,1
,31,6,27,8,4,4,4,18,3,16,1,10,43,10,0,22,1,,2,,0,,,0,,,50,265,1
,21,6,27,5,3,3,3,18,2,16,1,10,38,9,0,18,1,,1,,0,,,0,,,45,249,1
,18,5,26,5,3,2,2,17,2,15,1,9,34,9,0,16,1,,1,,0,,,0,,,42,237,1
,17,4,25,3,1,2,1,16,2,13,1,9,31,8,,14,1,,1,,0,,,,,,41,229,0
,15,4,25,3,1,2,0,16,2,13,0,7,31,8,,14,1,,1,,0,,,,,,35,228,0
,15,4,25,3,1,2,0,14,1,13,0,7,30,7,,12,0,,1,,0,,,,,,32,226,0
,14,4,23,1,1,1,0,13,1,13,0,6,27,7,,11,0,,1,,0,,,,,,29,223,0
,12,4,23,0,0,0,0,13,1,12,0,5,27,6,,10,0,,1,,0,,,,,,29,213,0
,9,4,22,0,0,0,,13,0,12,0,5,26,6,,10,0,,0,,0,,,,,,29,205,0
,8,4,22,0,0,0,,10,0,11,0,5,21,6,,10,0,,0,,0,,,,,,28,193,0
,8,3,22,0,0,0,,10,0,10,0,5,20,6,,9,0,,0,,0,,,,,,26,189,0
,7,2,22,0,0,0,,9,0,10,0,4,18,6,,9,0,,0,,0,,,,,,25,183,0
,7,2,20,0,0,0,,9,0,10,0,4,17,6,,8,0,,,,,,,,,,25,178,
,7,2,19,0,0,,,8,,10,0,4,17,6,,7,0,,,,,,,,,,25,169,
,5,1,19,0,0,,,7,,9,,3,16,5,,6,,,,,,,,,,,23,169,
,5,1,18,0,0,,,7,,8,,3,14,5,,5,,,,,,,,,,,20,165,
,4,1,18,,,,,7,,7,,2,13,5,,5,,,,,,,,,,,19,164,
,4,0,18,,,,,5,,7,,2,12,5,,3,,,,,,,,,,,19,158,
,4,0,17,,,,,5,,6,,2,12,4,,3,,,,,,,,,,,18,154,
,3,0,17,,,,,4,,5,,2,11,4,,3,,,,,,,,,,,18,135,
,2,0,16,,,,,4,,4,,2,10,4,,3,,,,,,,,,,,18,130,
,2,0,16,,,,,3,,4,,2,9,4,,3,,,,,,,,,,,17,128,
,2,0,16,,,,,3,,4,,1,8,3,,2,,,,,,,,,,,16,128,
,1,0,16,,,,,1,,3,,1,7,3,,2,,,,,,,,,,,16,127,
,1,0,15,,,,,1,,3,,1,7,3,,2,,,,,,,,,,,15,125,
,1,0,15,,,,,1,,3,,1,6,3,,2,,,,,,,,,,,14,123,
,1,0,14,,,,,0,,3,,1,6,3,,2,,,,,,,,,,,12,122,
,1,0,14,,,,,0,,3,,1,5,2,,2,,,,,,,,,,,12,121,
,1,0,14,,,,,0,,2,,1,4,2,,2,,,,,,,,,,,11,113,
,1,0,13,,,,,0,,2,,0,3,2,,2,,,,,,,,,,,10,113,
,1,0,13,,,,,0,,2,,0,3,2,,1,,,,,,,,,,,10,113,
,1,0,13,,,,,0,,2,,0,3,2,,1,,,,,,,,,,,9,107,
,0,,13,,,,,0,,2,,0,3,2,,1,,,,,,,,,,,9,106,
,0,,13,,,,,0,,1,,0,2,2,,1,,,,,,,,,,,9,104,
,0,,12,,,,,0,,1,,0,1,2,,1,,,,,,,,,,,9,101,
,0,,12,,,,,0,,1,,0,1,2,,0,,,,,,,,,,,9,100,
,,,12,,,,,,,1,,0,1,2,,0,,,,,,,,,,,9,99,
,,,12,,,,,,,1,,0,0,1,,0,,,,,,,,,,,9,99,
,,,12,,,,,,,1,,0,,1,,0,,,,,,,,,,,9,96,
,,,11,,,,,,,1,,0,,1,,0,,,,,,,,,,,8,96,
,,,11,,,,,,,1,,0,,1,,0,,,,,,,,,,,8,95,
,,,11,,,,,,,1,,,,1,,0,,,,,,,,,,,8,95,
,,,11,,,,,,,0,,,,1,,0,,,,,,,,,,,8,93,
,,,11,,,,,,,0,,,,1,,0,,,,,,,,,,,8,93,
,,,11,,,,,,,0,,,,1,,0,,,,,,,,,,,7,91,
,,,11,,,,,,,0,,,,1,,0,,,,,,,,,,,7,90,
,,,10,,,,,,,0,,,,1,,0,,,,,,,,,,,7,89,
,,,10,,,,,,,0,,,,1,,0,,,,,,,,,,,6,87,
,,,10,,,,,,,0,,,,1,,0,,,,,,,,,,,6,87,
,,,10,,,,,,,0,,,,1,,0,,,,,,,,,,,6,84,
,,,9,,,,,,,0,,,,0,,,,,,,,,,,,,6,82,
,,,9,,,,,,,0,,,,0,,,,,,,,,,,,,6,81,
,,,9,,,,,,,0,,,,0,,,,,,,,,,,,,6,80,
,,,9,,,,,,,0,,,,0,,,,,,,,,,,,,6,79,
,,,9,,,,,,,0,,,,0,,,,,,,,,,,,,6,79,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,74,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,74,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,72,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,72,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,71,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,71,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,4,67,
,,,7,,,,,,,0,,,,0,,,,,,,,,,,,,4,67,
