researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
"1,485 citations*",887 citations*,90 citations*,595 citations*,216 citations*,609 citations*,184 citations*,"2,323 citations*",732 citations*,"2,043 citations*",104 citations*,732 citations*,292 citations*,569 citations* for all,83 citations*,708 citations*,"1,504 citations*",774 citations*,111 citations*,499 citations*,"3,143 citations*",386 citations*,"1,326 citations*",708 citations*,"5,478 citations*","15,118 citations*","2,043 citations*",298 citations*,162 citations* for all,"1,023 citations*",81 citations*,"1,035 citations*",732 citations*,"3,645 citations*","10,445 citations*",458 citations*,12 citations*,"3,645 citations*",840 citations*,83 citations*,268 citations*,590 citations*,497 citations*,349 citations*,12 citations*,239 citations*,465 citations*,"2,812 citations*",195 citations*,"2,107 citations*",14 citations*,13 citations*,216 citations*,142 citations*,130 citations*,"4,680 citations*","2,310 citations*","9,226 citations*",724 citations*,"26,277 citations*",128 citations*,20 citations*,"2,190 citations*",31 citations*,511 citations*,73 citations*,162 citations*,"1,436 citations*",713 citations*,21 citations*,108 citations*,206 citations*,105 citations*,77 citations*,539 citations*,224 citations*,645 citations* for all,165 citations*,8 citations*,732 citations*,978 citations*,162 citations* for all,142 citations*,375 citations*,369 citations*,179 citations*,"2,371 citations*","2,812 citations*",203 citations*,184 citations*,17 citations*,155 citations*,387 citations*,94 citations*,455 citations*,147 citations*,104 citations*,23 citations*,83 citations*,169 citations*
774 citations*,732 citations*,203 citations*,547 citations*,290 citations*,147 citations*,202 citations*,862 citations*,274 citations*,760 citations*,173 citations*,274 citations*,289 citations*,568 citations*,124 citations*,344 citations*,534 citations*,595 citations*,80 citations*,290 citations*,708 citations*,347 citations*,710 citations* for all,314 citations*,"1,853 citations*","7,355 citations*",760 citations*,135 citations*,162 citations*,609 citations*,22 citations*,715 citations*,237 citations*,829 citations*,"3,693 citations* for all","1,054 citations*",104 citations*,829 citations*,487 citations* for all,61 citations*,287 citations*,190 citations*,142 citations*,148 citations*,87 citations*,155 citations*,656 citations*,199 citations*,92 citations*,883 citations*,20 citations*,14 citations*,199 citations*,98 citations*,129 citations*,"1,757 citations*",195 citations*,"1,439 citations*","1,555 citations*","38,744 citations* for all",62 citations*,112 citations*,"1,185 citations*",28 citations*,459 citations*,8 citations*,83 citations*,228 citations*,618 citations*,21 citations*,28 citations*,243 citations*,96 citations*,76 citations*,17 citations*,162 citations*,645 citations*,118 citations*,54 citations*,84 citations*,"1,406 citations*",162 citations*,99 citations* for all,101 citations*,249 citations*,136 citations*,634 citations*,199 citations*,88 citations*,143 citations*,31 citations*,98 citations*,9 citations*,82 citations*,274 citations*,884 citations*,72 citations*,65 citations*,61 citations*,79 citations*
864 citations*,386 citations*,90 citations*,406 citations*,112 citations*,297 citations*,178 citations*,610 citations*,237 citations*,427 citations*,212 citations*,172 citations*,171 citations*,1 citations*,29 citations*,269 citations*,246 citations*,547 citations*,15 citations*,66 citations*,724 citations*,334 citations*,0 citations*,387 citations*,"1,109 citations*","1,728 citations*",414 citations*,86 citations*,0 citations*,515 citations*,8 citations*,512 citations*,154 citations*,"2,296 citations*","3,685 citations*",554 citations*,92 citations*,151 citations*,487 citations*,23 citations*,146 citations*,213 citations*,167 citations*,102 citations*,157 citations*,71 citations*,625 citations*,212 citations*,103 citations*,109 citations*,11 citations*,3 citations*,142 citations*,81 citations*,112 citations*,174 citations*,536 citations*,"1,816 citations*",365 citations*,"3,729 citations*",1 citations*,63 citations*,"1,861 citations*",22 citations*,611 citations*,21 citations*,69 citations*,664 citations*,394 citations*,20 citations*,23 citations*,93 citations*,19 citations*,62 citations*,6 citations*,113 citations*,0 citations*,73 citations*,26 citations*,237 citations*,912 citations*,0 citations*,80 citations*,166 citations*,216 citations*,126 citations*,184 citations*,134 citations*,30 citations*,115 citations*,26 citations*,29 citations*,86 citations*,64 citations*,302 citations*,559 citations*,21 citations*,56 citations*,23 citations*,70 citations*
842 citations*,464 citations*,183 citations*,135 citations*,102 citations*,228 citations*,143 citations*,170 citations*,102 citations*,381 citations*,109 citations*,237 citations*,191 citations*,458 citations*,76 citations*,368 citations*,175 citations*,320 citations* for all,88 citations*,365 citations*,314 citations*,210 citations*,710 citations*,244 citations*,"1,688 citations*","1,154 citations*",420 citations*,8 citations*,298 citations*,"4,805 citations* for all",18 citations*,261 citations*,154 citations*,"1,763 citations*",8 citations*,211 citations*,16 citations*,166 citations*,0 citations*,7 citations*,130 citations*,169 citations*,96 citations*,90 citations*,251 citations*,85 citations*,339 citations*,86 citations*,9 citations*,630 citations*,7 citations*,98 citations*,101 citations*,8 citations*,126 citations*,121 citations*,537 citations*,601 citations* for all,600 citations*,"21,916 citations*",14 citations*,142 citations*,588 citations*,21 citations*,258 citations*,15 citations*,64 citations*,899 citations*,809 citations*,20 citations*,22 citations*,132 citations*,117 citations*,61 citations*,18 citations*,73 citations*,368 citations*,109 citations*,17 citations*,102 citations*,"1,093 citations*",77 citations*,19 citations*,224 citations*,212 citations*,73 citations*,212 citations*,121 citations*,21 citations*,91 citations*,79 citations*,24 citations*,76 citations*,64 citations*,168 citations*,225 citations*,14 citations*,27 citations*,7 citations*,103 citations*
236 citations*,195 citations*,76 citations*,50 citations*,146 citations*,168 citations*,129 citations*,245 citations*,154 citations*,414 citations*,98 citations*,154 citations*,197 citations*,"1,054 citations*",32 citations*,734 citations*,396 citations* for all,317 citations*,106 citations*,444 citations*,225 citations*,146 citations*,940 citations*,264 citations*,"1,190 citations*","1,706 citations*",313 citations*,92 citations*,68 citations*,"4,805 citations*",67 citations*,261 citations*,234 citations*,"4,734 citations* for all","2,867 citations*",506 citations*,5 citations*,147 citations*,"1,160 citations*",5 citations*,14 citations*,177 citations*,103 citations*,27 citations*,226 citations*,171 citations*,383 citations*,113 citations*,129 citations*,54 citations*,233 citations*,32 citations*,89 citations*,25 citations*,17 citations*,9 citations*,198 citations*,592 citations*,81 citations*,"13,099 citations*",18 citations*,72 citations*,"1,054 citations*",18 citations*,623 citations* for all,19 citations*,58 citations*,810 citations*,146 citations*,19 citations*,21 citations*,251 citations*,58 citations* for all,60 citations*,21 citations*,53 citations*,569 citations*,62 citations*,18 citations*,154 citations*,"1,099 citations*",86 citations*,163 citations*,124 citations*,174 citations*,70 citations*,126 citations*,113 citations*,19 citations*,89 citations*,12 citations*,23 citations*,19 citations*,64 citations*,245 citations*,244 citations*,14 citations*,51 citations*,5 citations*,155 citations*
320 citations* for all,175 citations*,62 citations*,442 citations*,85 citations*,291 citations*,18 citations*,"3,045 citations*",74 citations*,420 citations*,132 citations*,188 citations*,138 citations*,554 citations*,17 citations*,536 citations*,0 citations*,3 citations*,16 citations*,77 citations*,360 citations*,115 citations*,520 citations*,518 citations*,715 citations*,"1,804 citations*",104 citations*,62 citations* for all,84 citations* for all,0 citations*,68 citations*,58 citations*,102 citations* for all,"4,719 citations*","3,053 citations*",342 citations*,124 citations*,120 citations*,130 citations*,81 citations*,9 citations*,52 citations*,138 citations*,88 citations*,16 citations*,149 citations*,280 citations*,117 citations*,16 citations*,23 citations*,4 citations*,99 citations*,105 citations*,66 citations*,88 citations*,191 citations*,376 citations*,9 citations*,217 citations*,"8,984 citations* for all",24 citations*,67 citations*,481 citations*,17 citations*,623 citations*,15 citations*,57 citations*,490 citations*,150 citations*,19 citations*,20 citations*,77 citations*,58 citations*,55 citations*,24 citations*,28 citations*,445 citations*,83 citations*,4 citations*,193 citations*,610 citations*,108 citations*,69 citations*,109 citations*,170 citations*,36 citations*,64 citations*,78 citations*,15 citations*,24 citations*,14 citations*,23 citations*,14 citations*,30 citations*,169 citations*,155 citations*,14 citations*,6 citations*,20 citations*,43 citations*
317 citations*,347 citations*,86 citations*,368 citations*,80 citations*,118 citations*,102 citations*,237 citations*,188 citations*,565 citations*,8 citations*,234 citations*,157 citations*,396 citations*,85 citations*,579 citations*,396 citations*,181 citations* for all,7 citations*,258 citations*,387 citations*,87 citations*,274 citations*,172 citations*,399 citations*,"1,599 citations*",83 citations*,62 citations*,82 citations*,504 citations*,1 citations*,94 citations*,102 citations*,15 citations*,"1,634 citations*",246 citations*,9 citations*,8 citations*,87 citations*,12 citations*,29 citations*,22 citations*,80 citations*,124 citations*,116 citations*,127 citations*,398 citations*,78 citations*,23 citations*,757 citations*,4 citations*,72 citations*,104 citations*,74 citations*,64 citations*,124 citations*,302 citations*,581 citations* for all,89 citations*,0 citations*,64 citations*,17 citations* for all,389 citations*,17 citations*,0 citations*,16 citations*,56 citations*,257 citations*,111 citations*,18 citations*,17 citations*,106 citations*,0 citations*,28 citations*,23 citations*,28 citations*,312 citations*,92 citations*,9 citations*,70 citations*,150 citations*,59 citations*,73 citations*,73 citations*,155 citations*,29 citations*,8 citations*,69 citations*,12 citations* for all,21 citations*,25 citations*,20 citations*,79 citations*,23 citations*,264 citations*,74 citations*,13 citations*,0 citations*,81 citations*,15 citations*
3 citations*,102 citations*,110 citations*,108 citations*,57 citations*,74 citations*,94 citations*,"3,038 citations*",154 citations*,313 citations*,204 citations*,129 citations*,132 citations*,386 citations*,31 citations*,724 citations*,192 citations* for all,176 citations*,30 citations*,25 citations*,154 citations*,208 citations*,142 citations*,83 citations*,542 citations*,"1,148 citations*",86 citations*,0 citations*,2 citations*,368 citations* for all,28 citations*,224 citations*,0 citations*,420 citations*,"1,354 citations*",80 citations*,28 citations*,149 citations*,212 citations*,22 citations*,23 citations*,74 citations*,3 citations*,72 citations*,74 citations*,56 citations*,257 citations*,134 citations*,60 citations*,322 citations*,18 citations*,23 citations*,257 citations*,24 citations*,10 citations*,80 citations*,457 citations*,575 citations*,208 citations*,"7,755 citations*",12 citations*,0 citations*,469 citations*,15 citations*,337 citations*,13 citations*,54 citations*,227 citations*,119 citations*,18 citations*,17 citations*,186 citations*,63 citations*,22 citations*,15 citations*,25 citations*,579 citations*,65 citations*,14 citations*,122 citations*,"1,324 citations*",52 citations* for all,86 citations*,62 citations*,145 citations*,26 citations*,250 citations*,64 citations*,0 citations*,13 citations*,3 citations*,20 citations*,77 citations*,22 citations*,104 citations*,225 citations*,12 citations*,85 citations*,12 citations*,22 citations*
682 citations*,112 citations*,73 citations*,176 citations*,78 citations* for all,106 citations*,116 citations*,153 citations*,234 citations*,149 citations*,484 citations*,122 citations*,114 citations*,315 citations* for all,75 citations*,314 citations*,192 citations*,5 citations*,74 citations*,14 citations*,303 citations*,73 citations*,853 citations*,161 citations*,471 citations*,"1,127 citations*",173 citations*,121 citations*,77 citations*,365 citations*,10 citations*,14 citations*,97 citations*,194 citations*,"1,039 citations*",132 citations*,206 citations*,18 citations*,299 citations*,6 citations*,23 citations*,102 citations*,26 citations*,144 citations*,7 citations*,93 citations*,155 citations*,23 citations*,67 citations*,15 citations*,19 citations*,69 citations*,94 citations*,11 citations*,60 citations*,30 citations*,99 citations*,6 citations*,278 citations*,"1,229 citations*",119 citations*,17 citations*,497 citations*,14 citations*,198 citations*,13 citations*,28 citations*,373 citations*,75 citations*,17 citations*,12 citations*,70 citations*,6 citations*,17 citations*,25 citations*,20 citations*,248 citations*,72 citations*,6 citations*,73 citations*,335 citations*,51 citations*,16 citations*,11 citations*,127 citations*,23 citations*,96 citations*,62 citations*,12 citations*,11 citations*,9 citations*,20 citations*,12 citations*,22 citations*,144 citations*,84 citations*,11 citations*,5 citations*,22 citations*,73 citations*
370 citations*,458 citations*,229 citations*,314 citations*,78 citations*,83 citations*,136 citations*,203 citations*,129 citations*,231 citations*,110 citations*,114 citations*,131 citations*,312 citations*,21 citations*,225 citations*,0 citations*,34 citations*,101 citations*,14 citations* for all,173 citations*,108 citations*,299 citations*,164 citations* for all,56 citations*,573 citations*,212 citations*,146 citations*,59 citations*,3 citations*,64 citations*,485 citations*,114 citations*,327 citations*,"1,650 citations*",129 citations*,97 citations*,3 citations*,223 citations*,18 citations*,6 citations*,52 citations*,30 citations*,19 citations*,19 citations*,77 citations*,195 citations*,69 citations*,33 citations*,12 citations*,13 citations*,9 citations*,79 citations*,9 citations*,73 citations*,101 citations*,116 citations*,"1,045 citations* for all","1,136 citations*","4,157 citations*",17 citations*,62 citations*,415 citations*,13 citations*,206 citations*,6 citations*,23 citations*,198 citations*,71 citations*,17 citations*,12 citations*,12 citations*,24 citations*,13 citations*,19 citations*,17 citations*,386 citations*,16 citations*,12 citations*,89 citations*,33 citations*,1 citations*,20 citations*,55 citations*,105 citations*,22 citations*,24 citations*,58 citations*,18 citations*,10 citations*,16 citations*,18 citations*,72 citations*,19 citations*,67 citations*,128 citations*,11 citations*,0 citations*,8 citations*,82 citations*
